color_type,identifier,hex_color
palette,1,FF5733
palette,2,33FF57
palette,3,3357FF
palette,4,FF33A8
palette,5,33FFF7
palette,6,F7FF33
palette,7,FF33F7
palette,8,33F7FF
palette,9,FFB533
palette,10,B533FF
palette,11,33FFB5
palette,12,FF5F33
palette,13,335FFF
palette,14,B5FF33
palette,15,FF33B5
subject,1,FF6B6B
subject,2,4ECDC4
subject,3,FF9F1C
subject,4,5D5FEF
subject,5,45B7D1
subject,6,F72585
subject,7,7209B7
subject,8,3A0CA3
subject,9,4361EE
subject,10,4CC9F0
subject,11,06D6A0
subject,12,FFD166
subject,13,EF476F
subject,14,118AB2
subject,15,073B4C
basket_group,B1,FFA07A
basket_group,B2,98FB98
basket_group,B3,87CEFA
basket_group,B4,FFD700
basket_group,B5,DA70D6
basket_group,B6,20B2AA
basket_group,B7,FF6347
basket_group,B8,8A2BE2
basket_group,B9,32CD32
